Education,JoiningYear,City,Age,Gender,Experience
Bachelors,2017,Bangalore,34,Male,0
Bachelors,2013,Pune,28,Female,3
Bachelors,2014,New Delhi,38,Female,2
Masters,2016,Bangalore,27,Male,5
Masters,2017,Pune,24,Male,2
Bachelors,2016,Bangalore,22,Male,0
Bachelors,2015,New Delhi,38,Male,0
Bachelors,2016,Bangalore,34,Female,2
Bachelors,2016,Pune,23,Male,1
Masters,2017,New Delhi,37,Male,2
Masters,2012,Bangalore,27,Male,5
Bachelors,2016,Pune,34,Male,3
Bachelors,2018,Pune,32,Male,5
Bachelors,2016,Bangalore,39,Male,2
Bachelors,2012,Bangalore,37,Male,4
Bachelors,2017,Bangalore,29,Male,3
Bachelors,2014,Bangalore,34,Female,2
Bachelors,2014,Pune,34,Male,4
Bachelors,2015,Pune,30,Female,0
Bachelors,2016,New Delhi,22,Female,0
Bachelors,2012,Bangalore,37,Male,0
Masters,2017,New Delhi,28,Male,4
Bachelors,2017,New Delhi,36,Male,3
Bachelors,2015,Bangalore,27,Male,5
Bachelors,2017,Bangalore,29,Male,4
Bachelors,2013,Bangalore,22,Female,0
Bachelors,2016,Bangalore,37,Male,2
Bachelors,2015,Bangalore,23,Male,1
Bachelors,2013,Pune,31,Female,2
Masters,2017,New Delhi,30,Female,2
PHD,2013,New Delhi,25,Male,3
Bachelors,2014,Bangalore,23,Male,1
Bachelors,2018,Bangalore,26,Male,4
Bachelors,2016,Bangalore,40,Male,5
Bachelors,2017,Pune,37,Female,0
Bachelors,2014,Bangalore,30,Female,3
Bachelors,2012,New Delhi,29,Male,3
Bachelors,2018,New Delhi,34,Female,0
Bachelors,2017,Pune,29,Female,2
Bachelors,2014,Pune,30,Male,4
Bachelors,2015,Bangalore,36,Male,1
Masters,2017,New Delhi,23,Male,1
Bachelors,2013,Bangalore,30,Male,3
Bachelors,2014,Bangalore,36,Male,0
Bachelors,2015,Pune,39,Male,4
Bachelors,2014,Bangalore,23,Female,1
PHD,2012,New Delhi,27,Male,5
Masters,2013,New Delhi,35,Male,2
Masters,2017,New Delhi,34,Male,0
Bachelors,2013,Bangalore,30,Female,1
PHD,2017,New Delhi,34,Male,2
Bachelors,2015,Pune,26,Female,4
Bachelors,2016,Bangalore,34,Female,0
Bachelors,2014,Bangalore,31,Female,5
Bachelors,2017,New Delhi,31,Female,5
PHD,2013,New Delhi,28,Male,2
Bachelors,2016,Bangalore,38,Male,2
Masters,2014,Pune,39,Female,2
Bachelors,2013,Pune,32,Male,4
Masters,2017,Pune,36,Male,2
Masters,2013,New Delhi,29,Male,3
Bachelors,2015,Bangalore,30,Male,5
PHD,2013,Bangalore,25,Male,3
Bachelors,2014,Pune,22,Female,0
Bachelors,2016,Bangalore,34,Male,4
Bachelors,2018,Bangalore,40,Male,1
PHD,2013,Bangalore,26,Male,4
Bachelors,2014,New Delhi,28,Male,0
Bachelors,2015,Bangalore,24,Female,2
Masters,2017,Bangalore,40,Female,2
Bachelors,2018,Bangalore,23,Female,1
Masters,2017,Bangalore,31,Male,4
Bachelors,2014,Pune,25,Female,3
Bachelors,2014,Bangalore,27,Male,5
Masters,2017,New Delhi,25,Female,3
Bachelors,2015,Bangalore,40,Male,0
Bachelors,2014,Bangalore,23,Female,1
Bachelors,2017,Bangalore,23,Female,1
Bachelors,2012,Bangalore,39,Male,1
PHD,2015,New Delhi,37,Male,1
Bachelors,2017,Pune,38,Male,2
Bachelors,2013,Bangalore,31,Female,0
Bachelors,2016,Bangalore,38,Male,5
Bachelors,2017,Bangalore,25,Female,3
Bachelors,2015,Bangalore,27,Female,5
Bachelors,2016,Pune,36,Male,0
Bachelors,2017,Pune,27,Female,5
Masters,2015,Pune,32,Female,4
Bachelors,2014,Bangalore,28,Male,4
Masters,2012,New Delhi,32,Male,2
Bachelors,2018,Bangalore,30,Male,0
Bachelors,2015,New Delhi,22,Male,0
Bachelors,2017,New Delhi,34,Female,5
Masters,2013,New Delhi,36,Male,2
Bachelors,2014,Bangalore,39,Male,3
PHD,2018,Bangalore,26,Male,4
Bachelors,2016,Bangalore,31,Female,0
Bachelors,2014,Bangalore,27,Male,5
Bachelors,2014,Bangalore,29,Female,0
Bachelors,2015,Bangalore,24,Female,2
Masters,2012,Pune,25,Male,3
Bachelors,2013,Pune,25,Male,3
Masters,2017,New Delhi,26,Female,4
Bachelors,2015,Pune,28,Female,1
Bachelors,2017,New Delhi,28,Male,2
Masters,2015,Pune,28,Female,3
Masters,2015,New Delhi,25,Male,3
Bachelors,2017,Bangalore,28,Male,1
Masters,2013,Pune,25,Male,3
Bachelors,2015,Bangalore,25,Female,3
Bachelors,2015,Bangalore,27,Female,5
Bachelors,2017,Pune,27,Female,5
Bachelors,2013,Bangalore,27,Male,5
Bachelors,2012,Bangalore,25,Male,3
Masters,2017,New Delhi,28,Male,2
Bachelors,2014,Pune,26,Female,4
Bachelors,2015,Bangalore,28,Male,2
Masters,2013,New Delhi,26,Male,4
Bachelors,2017,Bangalore,26,Female,4
Bachelors,2017,New Delhi,25,Male,3
Bachelors,2012,Bangalore,28,Female,3
PHD,2015,New Delhi,26,Male,4
Bachelors,2015,New Delhi,25,Female,3
Bachelors,2012,Bangalore,26,Male,4
Bachelors,2014,Bangalore,28,Female,3
Masters,2014,Pune,24,Male,2
Bachelors,2013,Bangalore,28,Male,1
Bachelors,2015,Pune,27,Male,5
Bachelors,2018,Bangalore,25,Male,3
Masters,2013,Pune,24,Male,2
Bachelors,2017,Bangalore,26,Female,4
Bachelors,2013,Bangalore,28,Male,1
Masters,2016,New Delhi,27,Male,5
Masters,2017,Bangalore,26,Male,4
Masters,2017,New Delhi,24,Male,2
Masters,2018,New Delhi,26,Male,4
Masters,2017,New Delhi,25,Female,3
Bachelors,2012,Pune,28,Male,2
Bachelors,2017,New Delhi,28,Male,2
Bachelors,2013,Bangalore,26,Male,4
Masters,2013,New Delhi,27,Male,5
Bachelors,2017,Pune,24,Female,2
Bachelors,2017,New Delhi,28,Female,2
Bachelors,2016,Bangalore,26,Male,4
Bachelors,2013,Bangalore,27,Female,5
Masters,2015,Pune,28,Female,3
Bachelors,2014,Bangalore,25,Male,3
Bachelors,2016,Pune,28,Male,1
Masters,2013,Bangalore,25,Male,3
